Manufacturer,Model,Prod. year,Mileage,Category,Leather interior,Fuel type,Engine volume,Cylinders,Gear box type,Drive wheels,Wheel,Color,Airbags,Price,isTurbo
SSANGYONG,REXTON,2013.0,137267.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Silver,4.0,35927.0,No
TOYOTA,Prius,2014.0,160000.0,Sedan,No,Hybrid,1.8,4.0,Automatic,4x4,Left wheel,White,4.0,21012.0,No
TOYOTA,Tacoma,2018.0,27358.0,Sedan,Yes,Petrol,3.5,6.0,Automatic,Front,Left wheel,Grey,12.0,21012.0,No
HYUNDAI,Genesis,2011.0,107005.0,Coupe,Yes,Petrol,2.0,4.0,Automatic,Front,Left wheel,Grey,4.0,15624.0,No
OPEL,Vectra,1997.0,15000.0,Sedan,No,Petrol,1.6,4.0,Manual,Front,Left wheel,Beige,2.0,4547.0,No
HYUNDAI,Elantra,2012.0,104997.0,Sedan,Yes,Petrol,1.6,4.0,Automatic,Front,Left wheel,White,4.0,20005.0,No
VOLKSWAGEN,Passat,2017.0,27728.0,Sedan,Yes,Petrol,1.8,6.0,Tiptronic,Front,Left wheel,Silver,8.0,36110.0,No
HYUNDAI,Santa FE,2016.0,113700.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Silver,4.0,43880.0,No
MERCEDES-BENZ,C 250,2014.0,69000.0,Sedan,Yes,Petrol,1.8,4.0,Tiptronic,Rear,Left wheel,Grey,8.0,29479.0,Yes
TOYOTA,Camry,2011.0,152000.0,Sedan,Yes,Hybrid,2.5,4.0,Variator,Front,Left wheel,White,12.0,17249.0,No
HYUNDAI,Santa FE,2016.0,50255.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Red,4.0,44213.0,No
BMW,325,2001.0,252800.0,Sedan,Yes,Petrol,2.5,6.0,Manual,Rear,Left wheel,Grey,6.0,8467.0,No
FORD,Transit,2011.0,125000.0,Goods wagon,No,Diesel,2.4,4.0,Manual,4x4,Left wheel,White,2.0,21950.0,Yes
CHEVROLET,Cruze,2014.0,156992.0,Sedan,Yes,Petrol,1.4,4.0,Automatic,Front,Left wheel,Black,12.0,3136.0,No
OPEL,Vectra,1995.0,0.0,Sedan,No,CNG,2.0,4.0,Manual,Front,Left wheel,White,2.0,3450.0,No
MITSUBISHI,Pajero,1998.0,11000.0,Jeep,No,Petrol,3.5,6.0,Tiptronic,4x4,Right-hand drive,Silver,4.0,9408.0,Yes
NISSAN,Pathfinder,2010.0,90200.0,Jeep,Yes,LPG,4.0,6.0,Tiptronic,4x4,Left wheel,Black,12.0,31500.0,No
MITSUBISHI,Delica,2005.0,184000.0,Minivan,Yes,Petrol,3.0,6.0,Automatic,4x4,Right-hand drive,White,12.0,20385.0,No
VOLKSWAGEN,Golf,1996.0,0.0,Sedan,No,CNG,2.0,4.0,Manual,Front,Left wheel,Green,0.0,2300.0,No
MERCEDES-BENZ,Vaneo,2004.0,170000.0,Universal,No,LPG,1.9,4.0,Tiptronic,Front,Left wheel,Silver,4.0,7840.0,No
VOLKSWAGEN,Jetta,2014.0,113214.0,Universal,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Grey,12.0,1490.0,No
HONDA,Cr-v,2002.0,260000.0,Jeep,No,Petrol,2.4,4.0,Automatic,4x4,Left wheel,Silver,6.0,13172.0,No
AUDI,A7,2013.0,301707.0,Hatchback,Yes,Petrol,3.0,6.0,Automatic,4x4,Left wheel,Grey,0.0,4704.0,No
MERCEDES-BENZ,E 350,2013.0,107800.0,Sedan,Yes,Diesel,3.5,6.0,Automatic,Rear,Left wheel,Grey,12.0,5802.0,No
TOYOTA,Camry,2014.0,115200.0,Sedan,No,Petrol,2.5,4.0,Automatic,Front,Left wheel,Silver,8.0,25716.0,No
CHEVROLET,Orlando,2012.0,132036.0,Jeep,Yes,LPG,2.0,4.0,Automatic,Front,Left wheel,White,4.0,14426.0,No
TOYOTA,RAV 4,2001.0,91000.0,Jeep,No,Petrol,2.0,4.0,Automatic,4x4,Right-hand drive,Silver,4.0,10820.0,No
FORD,Explorer,2011.0,129177.0,Jeep,Yes,Petrol,3.5,4.0,Automatic,Front,Left wheel,White,4.0,45436.0,No
HYUNDAI,I30,2008.0,201000.0,Hatchback,No,Diesel,1.6,4.0,Manual,Front,Left wheel,Black,8.0,11917.0,No
HYUNDAI,Santa FE,2015.0,185811.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Black,4.0,41281.0,No
NISSAN,Altima,1998.0,358400.0,Sedan,No,Petrol,2.4,4.0,Manual,Front,Left wheel,Brown,2.0,4391.0,No
PORSCHE,Cayenne,2018.0,28968.0,Sedan,Yes,Petrol,3.6,6.0,Automatic,4x4,Left wheel,White,12.0,3058.0,No
SUZUKI,Grand Vitara,2008.0,98000.0,Jeep,No,Petrol,1.6,4.0,Automatic,4x4,Left wheel,Black,12.0,15681.0,No
LEXUS,CT 200h,2011.0,122302.0,Hatchback,Yes,Hybrid,1.8,4.0,Automatic,Front,Left wheel,Black,0.0,6586.0,No
TOYOTA,Prius,2007.0,140000.0,Hatchback,No,Hybrid,1.5,4.0,Automatic,Front,Left wheel,Beige,6.0,12544.0,No
HYUNDAI,Tucson,2014.0,120000.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,White,4.0,30063.0,No
PORSCHE,Panamera,2010.0,196800.0,Hatchback,Yes,Petrol,4.8,8.0,Tiptronic,4x4,Left wheel,White,8.0,72130.0,No
HYUNDAI,Veloster,2015.0,17200.0,Hatchback,No,Petrol,1.6,4.0,Tiptronic,Front,Left wheel,Red,10.0,21639.0,No
TOYOTA,Aqua,2014.0,66000.0,Hatchback,No,Hybrid,1.5,4.0,Variator,Front,Right-hand drive,Silver,4.0,12231.0,No
TOYOTA,Sienta,2004.0,300000.0,Sedan,No,Petrol,1.5,4.0,Variator,Front,Right-hand drive,Beige,4.0,3136.0,No
TOYOTA,Prius,2009.0,230000.0,Sedan,Yes,Hybrid,1.8,4.0,Variator,Front,Left wheel,Grey,6.0,10663.0,No
HONDA,FIT,2013.0,110467.0,Hatchback,Yes,Petrol,1.3,4.0,Automatic,Front,Left wheel,White,4.0,5620.0,No
MERCEDES-BENZ,CLS 550,2010.0,157000.0,Sedan,Yes,Petrol,5.5,4.0,Automatic,Front,Left wheel,Grey,10.0,19130.0,No
HONDA,FIT,2012.0,64000.0,Hatchback,No,Hybrid,1.3,4.0,Variator,Front,Right-hand drive,Black,4.0,9408.0,No
VOLKSWAGEN,Passat,2013.0,179200.0,Sedan,Yes,Diesel,2.0,4.0,Tiptronic,Front,Left wheel,White,16.0,15367.0,Yes
HYUNDAI,H1,2014.0,179918.0,Minivan,Yes,Diesel,2.5,4.0,Automatic,Front,Left wheel,Silver,4.0,26594.0,No
TOYOTA,Avalon LIMITED,2013.0,92200.0,Sedan,Yes,Hybrid,2.5,4.0,Tiptronic,Front,Left wheel,Beige,12.0,36065.0,No
JEEP,Grand Cherokee,1993.0,240000.0,Jeep,No,Petrol,4.0,6.0,Automatic,4x4,Left wheel,Green,5.0,6000.0,No
LEXUS,GX 470,2010.0,357246.0,Jeep,Yes,Petrol,4.6,8.0,Automatic,4x4,Left wheel,Grey,0.0,40142.0,No
HYUNDAI,Elantra,2013.0,50000.0,Sedan,No,Petrol,1.8,4.0,Tiptronic,Front,Left wheel,Grey,10.0,14000.0,No
CHEVROLET,Cruze,2014.0,127842.0,Sedan,Yes,Petrol,1.4,4.0,Automatic,Front,Left wheel,White,4.0,17923.0,No
HYUNDAI,Tucson,2017.0,40193.0,Jeep,Yes,Petrol,1.6,4.0,Automatic,Front,Left wheel,Black,4.0,54518.0,No
OPEL,Astra G,2003.0,180000.0,Hatchback,No,Petrol,1.6,4.0,Manual,Front,Left wheel,Silver,6.0,10349.0,No
TOYOTA,Ist,2002.0,115000.0,Hatchback,No,Petrol,1.3,4.0,Automatic,Front,Right-hand drive,Silver,7.0,8154.0,No
VOLKSWAGEN,Passat,2013.0,132310.0,Sedan,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,Grey,12.0,7527.0,No
TOYOTA,Camry,2017.0,60762.0,Sedan,Yes,Petrol,2.5,4.0,Automatic,Front,Left wheel,White,12.0,3450.0,No
HYUNDAI,Tucson,2010.0,142264.0,Jeep,Yes,Diesel,2.0,4.0,Automatic,Front,Left wheel,White,4.0,22063.0,No
HONDA,Civic,2012.0,146403.0,Sedan,Yes,Hybrid,1.5,4.0,Automatic,Front,Left wheel,White,0.0,2901.0,No
TOYOTA,Corolla,2013.0,227371.0,Sedan,Yes,Petrol,1.8,4.0,Automatic,Front,Left wheel,Silver,12.0,4704.0,No
VOLKSWAGEN,Passat,2002.0,175000.0,Sedan,Yes,Petrol,2.8,6.0,Manual,Front,Left wheel,Grey,6.0,5331.0,No
HONDA,FIT,2013.0,70000.0,Hatchback,Yes,Petrol,1.5,4.0,Automatic,Front,Left wheel,Blue,4.0,16900.0,No
NISSAN,Rogue,2010.0,122000.0,Jeep,Yes,Petrol,2.5,4.0,Automatic,4x4,Left wheel,Silver,4.0,18189.0,No
MAZDA,MPV,2000.0,127000.0,Minivan,No,Petrol,2.5,4.0,Automatic,Front,Left wheel,Green,4.0,5331.0,No
MERCEDES-BENZ,GLA 250,2017.0,44995.0,Jeep,Yes,Petrol,2.0,4.0,Automatic,4x4,Left wheel,Black,0.0,42651.0,No
TOYOTA,Prius,2012.0,122324.0,Hatchback,No,Hybrid,1.8,4.0,Automatic,Front,Left wheel,Red,7.0,15524.0,No
BMW,530,2007.0,111111.0,Sedan,Yes,Petrol,3.0,6.0,Tiptronic,Rear,Left wheel,Grey,10.0,17249.0,No
LEXUS,GS 350,2013.0,56000.0,Sedan,Yes,Petrol,3.5,6.0,Tiptronic,Rear,Left wheel,Black,12.0,73071.0,No
HYUNDAI,Elantra,2017.0,98000.0,Sedan,Yes,Diesel,1.6,4.0,Automatic,Front,Left wheel,White,4.0,28909.0,No
HYUNDAI,Sonata,2014.0,169024.0,Sedan,Yes,LPG,2.0,4.0,Automatic,Front,Left wheel,White,4.0,14426.0,No
MERCEDES-BENZ,E 350,2014.0,200179.0,Sedan,Yes,Diesel,3.5,6.0,Automatic,4x4,Left wheel,Black,12.0,30734.0,No
TOYOTA,Camry,2013.0,156666.0,Sedan,Yes,Petrol,2.5,4.0,Automatic,Front,Left wheel,Black,12.0,22580.0,No
